latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.46762,129.38451,338.93,0.39,0.44,2024-10-01,0446,N,VIIRS,n,2,295.64,4.15,D,3
37.42285,129.172,320.44,0.4,0.37,2024-10-01,1707,N,VIIRS,n,2,286.79,2.57,N,0
37.56856,126.6292,301.77,0.49,0.4,2024-10-01,1707,N,VIIRS,n,2,284.69,0.8,N,2
37.22853,128.32198,297.71,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,281.88,1.09,N,2
37.20509,128.30038,296.75,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,281.96,0.56,N,2
37.02742,128.31955,301.2,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,283.47,0.92,N,0
37.02334,128.32359,299.89,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,282.61,0.79,N,0
37.01392,128.34102,298.22,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,283.08,0.78,N,2
37.01112,128.33549,313.57,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,286.59,0.78,N,2
37.01049,128.34024,301.14,0.42,0.38,2024-10-01,1707,N,VIIRS,n,2,282.82,0.78,N,0
36.98973,126.70385,302.51,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,282.89,1.12,N,0
36.98605,126.70315,319.79,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,287.43,1.12,N,2
36.98111,126.71325,328.29,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,287.58,2.62,N,0
36.98365,126.6917,306.54,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,290.2,1.98,N,0
36.98769,126.70112,315.21,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,285.32,1.82,N,2
36.98269,126.71124,332.66,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,290.11,5.06,N,0
36.98533,126.68971,304.33,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,287.4,1.25,N,2
36.98402,126.70046,309.78,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,285.02,1.82,N,0
36.98166,126.68901,305.05,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,289.5,1.51,N,0
36.9527,126.61739,301.75,0.48,0.4,2024-10-01,1707,N,VIIRS,n,2,280.24,0.64,N,0
34.76328,127.05772,334.99,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,293.19,2.46,D,0
34.91134,127.74783,339,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,303.77,1.72,D,0
34.91792,127.76799,336.81,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,303.02,4.17,D,3
35.53599,127.33656,344.11,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,300.26,4.24,D,0
35.75448,126.79189,346.3,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,296.45,3.37,D,0
35.99013,126.86095,335.83,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,299.07,2.49,D,0
36.88349,127.15948,325.17,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,297.96,1.13,D,0
36.88679,127.15868,333.82,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,298.78,1.13,D,0
36.85375,126.5625,329.29,0.39,0.36,2024-10-02,0427,N,VIIRS,n,2,292.29,0.58,D,0
36.98273,126.71113,338.57,0.39,0.36,2024-10-02,0428,N,VIIRS,n,2,306.52,6.28,D,0
36.98135,126.70248,329.39,0.39,0.36,2024-10-02,0428,N,VIIRS,l,2,301.99,4.93,D,0
36.98465,126.70164,345.45,0.39,0.36,2024-10-02,0428,N,VIIRS,n,2,303.51,4.93,D,0
36.98729,126.70209,344.13,0.39,0.36,2024-10-02,0428,N,VIIRS,n,2,304.37,13.33,D,2
36.9906,126.70126,337.57,0.39,0.36,2024-10-02,0428,N,VIIRS,n,2,303.11,13.33,D,0
37.06183,126.50311,329.04,0.39,0.36,2024-10-02,0428,N,VIIRS,n,2,293.01,2.38,D,0
37.48502,129.05849,327.4,0.4,0.37,2024-10-02,0428,N,VIIRS,n,2,301.08,3.2,D,0
37.48802,126.64042,330.95,0.39,0.36,2024-10-02,0428,N,VIIRS,l,2,303.51,2.34,D,0
37.49045,126.63799,298.44,0.56,0.51,2024-10-02,1648,N,VIIRS,n,2,285.14,1.15,N,2
37.01344,128.3329,302.73,0.45,0.47,2024-10-02,1648,N,VIIRS,n,2,283.33,1.16,N,2
37.01249,128.34338,302.51,0.45,0.47,2024-10-02,1648,N,VIIRS,n,2,282.22,1.76,N,2
37.01225,128.33563,309.16,0.45,0.47,2024-10-02,1648,N,VIIRS,n,2,284.65,1.86,N,2
37.01174,128.34085,303.98,0.45,0.47,2024-10-02,1648,N,VIIRS,n,2,282.58,1.34,N,2
36.98557,126.70135,341.4,0.55,0.51,2024-10-02,1648,N,VIIRS,n,2,285.19,9.09,N,0
36.98457,126.714,313.35,0.55,0.51,2024-10-02,1648,N,VIIRS,n,2,283.79,2.27,N,0
36.98183,126.68819,305.65,0.55,0.51,2024-10-02,1648,N,VIIRS,n,2,284.65,2.67,N,0
36.98033,126.70707,300.01,0.55,0.51,2024-10-02,1648,N,VIIRS,n,2,282.47,2.27,N,0
37.01125,128.33769,298.44,0.76,0.77,2024-10-02,1828,N,VIIRS,n,2,280.16,1.9,N,2
36.98776,126.6899,297.43,0.63,0.72,2024-10-02,1828,N,VIIRS,n,2,284.67,2.67,N,2
36.9813,126.71049,312.39,0.63,0.72,2024-10-02,1828,N,VIIRS,n,2,285.29,3.95,N,0
36.98417,126.71384,298.75,0.63,0.72,2024-10-02,1828,N,VIIRS,n,2,284.04,2.2,N,0
36.98421,126.69015,309.21,0.63,0.72,2024-10-02,1828,N,VIIRS,n,2,288.58,3.22,N,2
34.91152,127.74858,327.26,0.53,0.42,2024-10-03,0408,N,VIIRS,n,2,293.84,1.89,D,0
34.92553,127.73849,332.9,0.53,0.42,2024-10-03,0408,N,VIIRS,n,2,297.13,4.39,D,0
36.98288,126.71325,327.92,0.54,0.42,2024-10-03,0409,N,VIIRS,n,2,288.56,4.92,D,0
36.98958,126.69936,298.79,0.5,0.66,2024-10-03,1629,N,VIIRS,n,2,286.5,1.56,N,0
36.98293,126.71083,320.78,0.5,0.66,2024-10-03,1629,N,VIIRS,n,2,286.44,2.43,N,0
36.98388,126.6873,309.1,0.5,0.66,2024-10-03,1629,N,VIIRS,n,2,287.97,2.1,N,2
36.98365,126.69319,304.13,0.5,0.66,2024-10-03,1629,N,VIIRS,n,2,287.65,2.1,N,0
