발생일시,진화일시,주소,진행상태,대응단계,위도,경도,acq_date,평균기온 (temp),평균풍속 (wspd),풍향각도 (wdir),강수량 (precip),습도 (rh),brightness,frp,confidence
2025-04-01 16:51,2025-04-01 17:21,대구광역시 군위군 삼국유사면,진화완료,초기대응,36.1235085738588,128.79466217762,2025-04-01,10.0,7.8,102.0,0.0,50,,,
2025-04-01 16:24,2025-04-01 16:58,경기도 화성시 팔탄면,진화완료,초기대응,37.1622647424706,126.904852591928,2025-04-01,8.3,5.7,359.0,0.0,60,,,
2025-04-01 15:03,2025-04-01 17:35,전북특별자치도 무주군 적상면,진화완료,초기대응,35.9455181920735,127.65939097001,2025-04-01,10.1,5.6,351.0,0.0,46,,,
2025-04-01 14:28,2025-04-01 18:00,경상남도 거창군 북상면,진화완료,초기대응,35.7776415133227,127.81864160201,2025-04-01,8.6,5.2,121.0,0.0,49,,,
2025-04-01 13:56,2025-04-01 15:20,경상남도 진주시 명석면,진화완료,초기대응,35.2195474676198,128.040338594136,2025-04-01,7.6,9.3,56.0,0.0,55,,,
2025-04-01 12:13,2025-04-01 13:21,경기도 화성시 마도면,진화완료,초기대응,37.205473723943,126.769633656944,2025-04-01,6.8,8.0,160.0,0.0,77,,,
2025-03-31 15:27,2025-03-31 16:10,경기도 파주시 광탄면,진화완료,초기대응,37.7761506126285,126.851257899494,2025-03-31,4.0,8.9,179.0,0.0,62,,,
2025-03-31 15:26,2025-03-31 16:11,충청남도 당진시 고대면,진화완료,초기대응,36.9260417412942,126.596893375233,2025-03-31,7.9,8.4,279.0,0.0,76,,,
2025-03-31 15:07,2025-03-31 15:49,대구광역시 남구 봉덕동,진화완료,초기대응,35.8455729454257,128.597908299005,2025-03-31,7.3,5.9,107.0,0.0,45,,,
2025-03-31 13:52,2025-03-31 14:21,경기도 안성시 공도읍,진화완료,초기대응,37.0010482035963,127.172541466359,2025-03-31,7.9,8.4,279.0,0.0,52,,,
2025-03-31 13:31,2025-03-31 14:03,전라남도 해남군 계곡면,진화완료,초기대응,34.6451041251461,126.659549045636,2025-03-31,7.0,5.5,274.0,0.0,61,,,
2025-03-30 17:41,2025-03-30 18:31,경기도 고양시 일산동구,진화완료,초기대응,37.6588746240831,126.775008021538,2025-03-30,3.3,14.1,262.0,0.0,54,,,
2025-03-30 12:58,2025-03-30 14:00,경상남도 고성군 영오면,진화완료,초기대응,35.1078274712074,128.237656734178,2025-03-30,3.0,11.3,343.0,2.5,29,,,
2025-03-30 11:35,2025-03-30 13:20,전라남도 순천시 송광면,진화완료,초기대응,34.9740808402069,127.263841176795,2025-03-30,4.9,19.6,314.0,0.5,32,,,
2025-03-29 18:37,2025-03-29 19:15,인천광역시 서구 석남동,진화완료,초기대응,37.5110804950594,126.674801640164,2025-03-29,2.5,26.8,294.0,0.0,43,,,
2025-03-29 13:32,2025-03-29 15:15,경상남도 고성군 개천면,진화완료,초기대응,35.0987319004093,128.258983112372,2025-03-29,6.0,14.3,315.0,0.0,28,,,
2025-03-27 19:14,2025-03-27 20:20,경기도 파주시 조리읍,진화완료,초기대응,37.7447154207442,126.805164975937,2025-03-27,13.5,14.8,297.0,3.3,69,,,
2025-03-27 16:13,2025-03-27 16:55,대구광역시 군위군 소보면,진화완료,초기대응,36.2549801744473,128.475262006979,2025-03-27,15.0,13.1,289.0,1.5,74,,,
2025-03-26 23:42,2025-03-27 00:32,충청남도 서산시 대산읍,진화완료,초기대응,36.9396086255275,126.434317146792,2025-03-26,8.2,23.3,194.0,0.0,66,,,
2025-03-26 21:22,2025-03-27 22:00,전북특별자치도 무주군 부남면,진화완료,2단계,35.9738261584764,127.558782680071,2025-03-26,17.0,7.9,150.0,0.0,40,,,
2025-03-26 19:29,2025-03-27 08:00,대구광역시 대구광역시 달성군,진화완료,초기대응,35.7744738663997,128.431220139822,2025-03-26,17.4,8.7,123.0,0.0,36,,,
2025-03-26 15:09,2025-03-26 16:38,전북특별자치도 순창군 쌍치면,진화완료,초기대응,35.5005636388592,127.001344667371,2025-03-26,17.0,7.9,150.0,0.0,43,,,
2025-03-26 14:27,2025-03-26 16:36,경기도 파주시 조리읍,진화완료,초기대응,37.7447154207442,126.805164975937,2025-03-26,13.8,9.2,141.0,0.0,58,,,
2025-03-26 13:52,2025-03-26 14:21,경기도 용인시 기흥구,진화완료,초기대응,37.2804108784801,127.114713232773,2025-03-26,12.5,10.9,160.0,0.0,49,,,
2025-03-26 12:48,2025-03-26 13:19,경기도 양평군 개군면,진화완료,초기대응,37.4259639502401,127.536793361892,2025-03-26,11.5,8.0,145.0,0.0,50,,,
2025-03-26 12:08,2025-03-26 12:53,충청남도 부여군 규암면,진화완료,초기대응,36.2752838554004,126.884170503718,2025-03-26,13.9,20.8,162.0,0.0,45,,,
2025-03-26 10:21,2025-03-26 10:57,전북특별자치도 완주군 운주면,진화완료,초기대응,36.0924380099583,127.277455344342,2025-03-26,17.6,6.5,207.0,0.0,42,,,
2025-03-26 10:05,2025-03-26 11:18,충청북도 영동군 매곡면,진화완료,초기대응,36.19087307586,127.932125380455,2025-03-26,14.2,14.3,179.0,0.0,32,,,
2025-03-26 09:06,2025-03-26 09:55,충청남도 금산군 진산면,진화완료,초기대응,36.1443133063174,127.370225015163,2025-03-26,17.6,6.5,207.0,0.0,36,,,
2025-03-26 03:01,2025-03-26 03:45,광주광역시 남구 진월동,진화완료,초기대응,35.1152763502204,126.900052626195,2025-03-26,16.7,6.9,226.0,0.0,42,,,
2025-03-25 19:15,2025-03-26 06:00,경상북도 봉화군 물야면,진화완료,초기대응,36.9751823190015,128.735794837411,2025-03-25,16.4,10.5,278.0,0.0,58,,,
2025-03-25 16:29,2025-03-25 18:15,경상남도 진주시 수곡면,진화완료,초기대응,35.1985989789397,127.932169505873,2025-03-25,14.7,18.8,215.0,0.0,56,,,
2025-03-25 15:47,2025-03-26 01:44,경기도 화성시 남양읍,진화완료,초기대응,37.1930203313887,126.821319091973,2025-03-25,11.0,16.7,204.0,0.0,67,,,
2025-03-25 14:38,2025-03-25 16:11,충청남도 당진시 순성면,진화완료,초기대응,36.8455689569144,126.714613956944,2025-03-25,13.4,11.4,289.0,0.0,64,,,
2025-03-25 14:14,2025-03-25 17:27,전북특별자치도 고창군 성내면,진화완료,초기대응,35.5381019918309,126.743278570826,2025-03-25,13.2,16.0,196.0,0.0,57,,,
2025-03-25 14:12,2025-03-25 16:36,경기도 시흥시 계수동,진화완료,초기대응,37.4498186978793,126.812387749114,2025-03-25,10.4,14.4,182.0,0.0,71,,,
2025-03-25 13:18,2025-03-25 14:04,경상남도 통영시 용남면,진화완료,초기대응,34.8677216217383,128.442399210645,2025-03-25,14.7,18.8,215.0,0.0,67,,,
2025-03-25 12:32,2025-03-25 13:22,경상남도 창녕군 대지면,진화완료,초기대응,35.5555840663393,128.467857909129,2025-03-25,18.9,10.5,285.0,0.0,50,,,
2025-03-25 11:54,2025-03-26 08:10,울산광역시 울주군 언양읍,진화완료,2단계,35.5692432956799,129.125679846813,2025-03-25,18.1,10.2,230.0,0.0,55,,,
2025-03-25 10:02,2025-03-25 10:24,경기도 포천시 설운동,진화완료,초기대응,37.8649962982809,127.136351360354,2025-03-25,10.4,16.5,181.0,0.0,70,,,
2025-03-24 15:34,2025-03-24 16:00,대구광역시 대구광역시 달성군,진화완료,초기대응,35.7744738663997,128.431220139822,2025-03-24,18.1,8.2,258.0,0.3,45,,,
2025-03-24 14:11,2025-03-24 16:15,전북특별자치도 진안군 주천면,진화완료,초기대응,35.9752524899679,127.42547846477,2025-03-24,15.8,9.9,199.0,0.0,48,,,
2025-03-24 12:54,2025-03-24 14:10,전북특별자치도 김제시 금산면,진화완료,초기대응,35.7165277114723,126.996211537581,2025-03-24,15.8,9.9,199.0,0.0,51,,,
2025-03-24 12:33,2025-03-24 13:12,충청북도 청주시 서원구,진화완료,초기대응,36.6376517521817,127.469743939294,2025-03-24,15.0,15.9,239.0,0.0,46,,,
2025-03-23 15:29,2025-03-23 16:00,전라남도 고흥군 금산면,진화완료,초기대응,34.4591639770743,127.125139350441,2025-03-23,13.8,14.2,244.0,0.0,64,,,
2025-03-23 14:21,2025-03-23 15:19,경기도 파주시 맥금동,진화완료,초기대응,37.7866662388697,126.727926139116,2025-03-23,12.9,9.9,184.0,0.0,65,,,
2025-03-23 14:05,2025-03-23 15:10,경기도 동두천시 생연동,진화완료,초기대응,37.9073618412166,127.065583509011,2025-03-23,11.6,10.3,162.0,0.0,53,,,
2025-03-23 13:25,2025-03-23 16:30,경상북도 경주시 양남면,진화완료,초기대응,35.6777902076074,129.460381239414,2025-03-23,16.1,5.5,47.0,0.0,38,,,
