발생일시,진화일시,주소,진행상태,대응단계
2025-04-01 16:51,2025-04-01 17:21,대구광역시 군위군 삼국유사면,진화완료,초기대응
2025-04-01 16:24,2025-04-01 16:58,경기도 화성시 팔탄면,진화완료,초기대응
2025-04-01 15:03,2025-04-01 17:35,전북특별자치도 무주군 적상면,진화완료,초기대응
2025-04-01 14:28,2025-04-01 18:00,경상남도 거창군 북상면,진화완료,초기대응
2025-04-01 13:56,2025-04-01 15:20,경상남도 진주시 명석면,진화완료,초기대응
2025-04-01 12:13,2025-04-01 13:21,경기도 화성시 마도면,진화완료,초기대응
2025-03-31 15:27,2025-03-31 16:10,경기도 파주시 광탄면,진화완료,초기대응
2025-03-31 15:26,2025-03-31 16:11,충청남도 당진시 고대면,진화완료,초기대응
2025-03-31 15:07,2025-03-31 15:49,대구광역시 남구 봉덕동,진화완료,초기대응
2025-03-31 13:52,2025-03-31 14:21,경기도 안성시 공도읍,진화완료,초기대응
2025-03-31 13:31,2025-03-31 14:03,전라남도 해남군 계곡면,진화완료,초기대응
2025-03-30 17:41,2025-03-30 18:31,경기도 고양시 일산동구,진화완료,초기대응
2025-03-30 12:58,2025-03-30 14:00,경상남도 고성군 영오면,진화완료,초기대응
2025-03-30 11:35,2025-03-30 13:20,전라남도 순천시 송광면,진화완료,초기대응
2025-03-29 18:37,2025-03-29 19:15,인천광역시 서구 석남동,진화완료,초기대응
2025-03-29 13:32,2025-03-29 15:15,경상남도 고성군 개천면,진화완료,초기대응
2025-03-27 19:14,2025-03-27 20:20,경기도 파주시 조리읍,진화완료,초기대응
2025-03-27 16:13,2025-03-27 16:55,대구광역시 군위군 소보면,진화완료,초기대응
2025-03-26 23:42,2025-03-27 00:32,충청남도 서산시 대산읍,진화완료,초기대응
2025-03-26 21:22,2025-03-27 22:00,전북특별자치도 무주군 부남면,진화완료,2단계
2025-03-26 19:29,2025-03-27 08:00,대구광역시 대구광역시 달성군,진화완료,초기대응
2025-03-26 15:09,2025-03-26 16:38,전북특별자치도 순창군 쌍치면,진화완료,초기대응
2025-03-26 14:27,2025-03-26 16:36,경기도 파주시 조리읍,진화완료,초기대응
2025-03-26 13:52,2025-03-26 14:21,경기도 용인시 기흥구,진화완료,초기대응
2025-03-26 12:48,2025-03-26 13:19,경기도 양평군 개군면,진화완료,초기대응
2025-03-26 12:08,2025-03-26 12:53,충청남도 부여군 규암면,진화완료,초기대응
2025-03-26 10:21,2025-03-26 10:57,전북특별자치도 완주군 운주면,진화완료,초기대응
2025-03-26 10:05,2025-03-26 11:18,충청북도 영동군 매곡면,진화완료,초기대응
2025-03-26 09:06,2025-03-26 09:55,충청남도 금산군 진산면,진화완료,초기대응
2025-03-26 03:01,2025-03-26 03:45,광주광역시 남구 진월동,진화완료,초기대응
2025-03-25 19:15,2025-03-26 06:00,경상북도 봉화군 물야면,진화완료,초기대응
2025-03-25 16:29,2025-03-25 18:15,경상남도 진주시 수곡면,진화완료,초기대응
2025-03-25 15:47,2025-03-26 01:44,경기도 화성시 남양읍,진화완료,초기대응
2025-03-25 14:38,2025-03-25 16:11,충청남도 당진시 순성면,진화완료,초기대응
2025-03-25 14:14,2025-03-25 17:27,전북특별자치도 고창군 성내면,진화완료,초기대응
2025-03-25 14:12,2025-03-25 16:36,경기도 시흥시 계수동,진화완료,초기대응
2025-03-25 13:18,2025-03-25 14:04,경상남도 통영시 용남면,진화완료,초기대응
2025-03-25 12:32,2025-03-25 13:22,경상남도 창녕군 대지면,진화완료,초기대응
2025-03-25 11:54,2025-03-26 08:10,울산광역시 울주군 언양읍,진화완료,2단계
2025-03-25 10:02,2025-03-25 10:24,경기도 포천시 설운동,진화완료,초기대응
2025-03-24 15:34,2025-03-24 16:00,대구광역시 대구광역시 달성군,진화완료,초기대응
2025-03-24 14:11,2025-03-24 16:15,전북특별자치도 진안군 주천면,진화완료,초기대응
