latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.22649,-118.59914,301.05,0.46,0.39,2024-05-02,0958,N20,VIIRS,n,2,283.4,0.92,N,0
34.24471,-118.37968,295.93,0.47,0.4,2024-05-02,0958,N20,VIIRS,n,2,282.72,0.37,N,0
34.29092,-118.80218,312.98,0.45,0.39,2024-05-02,0958,N20,VIIRS,n,2,281.25,1.24,N,2
34.0362,-118.1052,301.74,0.49,0.4,2024-05-02,0958,N20,VIIRS,n,2,286.04,0.63,N,0
34.15191,-118.19234,313.59,0.48,0.4,2024-05-02,0958,N20,VIIRS,n,2,283.29,1.91,N,2
34.43057,-118.64497,311.96,0.46,0.39,2024-05-02,0958,N20,VIIRS,n,2,281.83,1.69,N,2
34.33564,-118.51682,309.21,0.46,0.39,2024-05-02,0958,N20,VIIRS,n,2,285.6,1.29,N,2
34.32243,-118.52596,304.81,0.46,0.39,2024-05-02,0958,N20,VIIRS,n,2,286.61,0.96,N,0
34.3195,-118.51061,300.97,0.46,0.39,2024-05-02,0958,N20,VIIRS,n,2,284.45,0.9,N,0
34.40052,-118.99726,295.01,0.44,0.39,2024-05-02,0958,N20,VIIRS,n,2,282.24,0.38,N,0
34.15315,-118.19,330.59,0.39,0.44,2024-05-02,2117,N20,VIIRS,l,2,305.04,2.21,D,0
34.40174,-118.9966,295.51,0.39,0.37,2024-05-03,0939,N20,VIIRS,n,2,282.59,0.29,N,0
34.43001,-118.64444,332.35,0.39,0.36,2024-05-03,2058,N20,VIIRS,l,2,305.33,2.44,D,2
33.85614,-118.33662,296.43,0.63,0.72,2024-05-06,0842,N20,VIIRS,n,2,284.29,1.27,N,0
33.85496,-118.3314,301.55,0.34,0.56,2024-05-06,1023,N20,VIIRS,n,2,285.73,0.54,N,2
34.43046,-118.64556,307.24,0.32,0.54,2024-05-06,1023,N20,VIIRS,n,2,279.31,0.77,N,2
34.42879,-118.64331,298.77,0.32,0.54,2024-05-06,1023,N20,VIIRS,n,2,279.27,0.67,N,2
34.3352,-118.51846,307.82,0.33,0.55,2024-05-06,1023,N20,VIIRS,n,2,279.99,0.71,N,2
34.31788,-118.51273,296.67,0.33,0.55,2024-05-06,1023,N20,VIIRS,n,2,280.04,0.4,N,2
