latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
33.85331,-118.33457,299.56,0.34,0.56,2025-02-01,0858,N20,VIIRS,n,2.0NRT,277.68,0.99,N
34.42955,-118.64801,299.43,0.36,0.58,2025-02-01,0858,N20,VIIRS,n,2.0NRT,273.38,0.7,N
34.29366,-118.80491,300.76,0.37,0.58,2025-02-01,0858,N20,VIIRS,n,2.0NRT,273.36,0.5,N
34.15646,-118.19656,300.92,0.34,0.56,2025-02-01,0858,N20,VIIRS,n,2.0NRT,272.16,0.53,N
34.15508,-118.19669,301.71,0.34,0.56,2025-02-01,0858,N20,VIIRS,n,2.0NRT,272.43,0.54,N
33.85406,-118.33588,295.8,0.34,0.56,2025-02-01,0858,N20,VIIRS,n,2.0NRT,277.32,1.14,N
34.33683,-118.52114,300.71,0.36,0.57,2025-02-01,0858,N20,VIIRS,n,2.0NRT,274.34,0.63,N
34.33811,-118.52226,298.41,0.63,0.54,2025-02-02,1019,N20,VIIRS,n,2.0NRT,283.15,1.25,N
34.15238,-118.19505,308.46,0.33,0.55,2025-02-02,1019,N20,VIIRS,n,2.0NRT,282.17,0.95,N
34.29412,-118.80166,295.23,0.61,0.53,2025-02-02,1019,N20,VIIRS,n,2.0NRT,281.22,0.75,N
33.716,-117.71179,299.59,0.36,0.57,2025-02-02,1019,N20,VIIRS,n,2.0NRT,282.9,0.49,N
34.24247,-118.38405,295.27,0.54,0.42,2025-02-03,1002,N20,VIIRS,n,2.0NRT,280.83,0.48,N
33.61287,-117.82507,303,0.39,0.44,2025-02-03,1002,N20,VIIRS,n,2.0NRT,277.81,0.8,N
34.42907,-118.64359,309.97,0.52,0.42,2025-02-03,1002,N20,VIIRS,n,2.0NRT,279.07,0.92,N
34.33405,-118.52139,304.35,0.53,0.42,2025-02-03,1002,N20,VIIRS,n,2.0NRT,281.54,1.04,N
34.04165,-117.82408,295.22,0.39,0.44,2025-02-03,1002,N20,VIIRS,n,2.0NRT,283.31,0.42,N
34.15366,-118.19066,308.38,0.55,0.43,2025-02-03,1002,N20,VIIRS,n,2.0NRT,283.92,1.63,N
34.29121,-118.8017,306.54,0.51,0.41,2025-02-03,1002,N20,VIIRS,n,2.0NRT,279.87,1.42,N
34.29122,-118.80117,312.06,0.51,0.41,2025-02-03,1002,N20,VIIRS,n,2.0NRT,279.87,1.51,N
34.32047,-118.51311,295.44,0.53,0.42,2025-02-03,1002,N20,VIIRS,n,2.0NRT,281.45,0.22,N
33.7165,-117.71231,304.61,0.4,0.44,2025-02-03,1002,N20,VIIRS,n,2.0NRT,281.19,1.1,N
34.24361,-118.38291,301.38,0.39,0.36,2025-02-04,0941,N20,VIIRS,n,2.0NRT,280.42,0.55,N
34.42897,-118.64608,299.34,0.38,0.36,2025-02-04,0941,N20,VIIRS,n,2.0NRT,277.94,0.53,N
34.43225,-118.64533,296.18,0.38,0.36,2025-02-04,0941,N20,VIIRS,n,2.0NRT,278.97,0.53,N
34.33395,-118.52087,308.31,0.38,0.36,2025-02-04,0941,N20,VIIRS,n,2.0NRT,280.37,1.05,N
34.31884,-118.51149,295.85,0.38,0.36,2025-02-04,0941,N20,VIIRS,n,2.0NRT,280.54,0.37,N
34.03677,-117.89449,295.34,0.39,0.36,2025-02-04,0943,N20,VIIRS,n,2.0NRT,276.83,0.56,N
33.61508,-117.82385,307.9,0.39,0.36,2025-02-04,0943,N20,VIIRS,n,2.0NRT,281.53,1.08,N
34.03607,-117.8903,301.91,0.39,0.36,2025-02-04,0943,N20,VIIRS,n,2.0NRT,278.45,0.56,N
34.04205,-117.82349,298.47,0.39,0.36,2025-02-04,0943,N20,VIIRS,n,2.0NRT,281.7,0.51,N
34.33564,-118.51858,307.36,0.42,0.45,2025-02-08,1008,N20,VIIRS,n,2.0NRT,273.7,1.03,N
34.15377,-118.19138,304.03,0.44,0.46,2025-02-08,1008,N20,VIIRS,n,2.0NRT,274.47,1.54,N
34.43122,-118.64286,302.52,0.41,0.45,2025-02-08,1008,N20,VIIRS,n,2.0NRT,275,0.7,N
34.42915,-118.64371,310.38,0.4,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,277.01,0.63,N
33.61182,-117.82266,299.07,0.43,0.38,2025-02-09,0949,N20,VIIRS,n,2.0NRT,277.16,0.67,N
33.80442,-118.24384,297.07,0.42,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,285.7,0.75,N
33.71585,-117.71151,306.23,0.43,0.38,2025-02-09,0949,N20,VIIRS,n,2.0NRT,280.09,1.16,N
33.81876,-118.24481,297.15,0.42,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,283.64,0.82,N
33.85203,-118.33322,299.58,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,285.28,0.89,N
33.85541,-118.33236,297.1,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,285.19,0.89,N
33.907,-118.40392,295.83,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,283.97,0.72,N
34.03458,-118.10574,302.7,0.42,0.38,2025-02-09,0949,N20,VIIRS,n,2.0NRT,280.58,0.58,N
34.03478,-117.89272,315.14,0.42,0.38,2025-02-09,0949,N20,VIIRS,n,2.0NRT,281.03,1.45,N
34.15269,-118.19448,315.11,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,280.52,1.37,N
34.11525,-117.92331,298.08,0.42,0.38,2025-02-09,0949,N20,VIIRS,n,2.0NRT,280.35,0.7,N
34.29327,-118.80354,318.55,0.4,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,280.51,1.07,N
34.24233,-118.3805,303.86,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,277.3,0.56,N
34.32127,-118.51138,305.64,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,278.5,0.58,N
34.33694,-118.5212,312.64,0.41,0.37,2025-02-09,0949,N20,VIIRS,n,2.0NRT,278.5,1.42,N
34.29121,-118.80269,327.17,0.45,0.39,2025-02-09,2108,N20,VIIRS,n,2.0NRT,297.9,1.18,D
34.1525,-118.19074,326.81,0.47,0.4,2025-02-09,2108,N20,VIIRS,n,2.0NRT,298.28,2.58,D
34.43197,-118.64514,302.03,0.43,0.38,2025-02-10,0930,N20,VIIRS,n,2.0NRT,276.46,1.18,N
34.03693,-118.10532,301.68,0.41,0.37,2025-02-10,0930,N20,VIIRS,n,2.0NRT,277.15,0.74,N
34.11641,-117.92342,299.24,0.41,0.37,2025-02-10,0930,N20,VIIRS,n,2.0NRT,280.21,0.67,N
34.03578,-117.89424,315.46,0.41,0.37,2025-02-10,0930,N20,VIIRS,n,2.0NRT,276.68,0.62,N
33.71616,-117.71267,311.99,0.4,0.37,2025-02-10,0930,N20,VIIRS,n,2.0NRT,279.88,0.84,N
33.61313,-117.82542,306.4,0.4,0.37,2025-02-10,0930,N20,VIIRS,n,2.0NRT,280.48,1.21,N
34.33371,-118.52093,310.06,0.43,0.38,2025-02-10,0930,N20,VIIRS,n,2.0NRT,276.25,1.35,N
34.3351,-118.51818,315.78,0.43,0.38,2025-02-10,0930,N20,VIIRS,n,2.0NRT,277.47,1.46,N
34.32005,-118.51182,302.48,0.43,0.38,2025-02-10,0930,N20,VIIRS,n,2.0NRT,276.94,0.77,N
34.24245,-118.38252,298.67,0.42,0.38,2025-02-10,0930,N20,VIIRS,n,2.0NRT,277.01,0.7,N
