grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
68,16.0,9.7,50,301.05,0.92,n,1
53,16.0,9.7,50,295.93,0.37,n,1
80,16.0,9.7,50,312.98,1.24,n,1
8,14.8,9.0,50,301.74,0.63,n,1
44,16.0,9.7,50,313.59,1.91,n,1
114,19.2,22.0,50,311.96,1.69,n,1
98,16.0,9.7,50,309.21,1.29,n,1
98,16.0,9.7,50,304.81,0.96,n,1
98,16.0,9.7,50,300.97,0.9,n,1
107,14.9,10.1,50,295.01,0.38,n,1
44,16.0,9.7,50,330.59,2.21,l,1
107,15.2,10.7,50,295.51,0.29,n,1
114,16.6,9.7,50,332.35,2.44,l,1
160,15.7,12.2,50,296.43,1.27,n,1
160,15.7,12.2,50,301.55,0.54,n,1
114,15.1,16.9,50,307.24,0.77,n,1
114,15.9,9.0,50,298.77,0.67,n,1
98,15.9,9.0,50,307.82,0.71,n,1
98,15.9,9.0,50,296.67,0.4,n,1
44,15.9,9.0,50,310.13,0.58,n,1
80,15.9,9.0,50,295.12,1.01,n,1
8,15.7,10.4,50,295.07,0.24,n,1
157,17.6,9.7,50,299.05,0.6,n,1
152,17.6,9.7,50,296.07,0.68,n,1
152,17.6,9.7,50,299.81,0.82,n,1
151,17.6,9.7,50,296.83,0.43,n,1
134,17.6,9.7,50,297.57,0.61,n,1
134,18.1,7.9,50,304.33,0.68,n,1
80,16.9,8.6,50,304.37,1.15,n,1
98,16.9,8.6,50,296.85,0.64,n,1
36,18.6,23.4,50,297.61,0.27,n,1
44,16.9,8.6,50,307.73,1.04,n,1
13,16.9,8.6,50,298.36,0.48,n,1
8,17.6,5.8,50,301.73,0.4,n,1
160,15.7,9.0,50,299.29,1.66,n,1
98,16.9,8.6,50,297.39,0.77,n,1
98,16.9,8.6,50,305.42,1.3,n,1
114,16.9,8.6,50,309.33,1.69,n,1
152,18.1,7.9,50,300.22,0.83,n,1
157,18.1,7.9,50,297.41,1.39,n,1
144,18.1,7.9,50,306.05,0.53,n,1
98,16.9,10.1,50,303.42,0.59,n,1
98,16.9,10.1,50,312.25,0.73,n,1
144,18.1,10.1,50,309.02,0.54,n,1
157,18.1,10.1,50,301.29,1.18,n,1
160,16.1,10.8,50,308.51,1.55,n,1
8,16.7,6.5,50,302.92,0.72,n,1
13,16.9,10.1,50,296.95,0.28,n,1
44,16.9,10.1,50,317.5,1.27,n,1
36,17.5,11.9,50,297.52,0.5,n,1
134,18.1,10.1,50,313.13,0.55,n,1
98,16.9,10.1,50,299.1,0.76,n,1
80,16.9,10.1,50,308.32,0.92,n,1
53,16.9,10.1,50,303.39,0.5,n,1
114,16.9,10.1,50,311.96,0.9,n,1
98,16.9,10.1,50,338.41,4.53,l,1
44,16.9,10.1,50,335.7,2.9,l,1
81,16.8,10.1,50,309.79,0.95,n,1
44,16.8,10.1,50,318.73,2.03,n,1
114,16.8,10.1,50,308.49,0.9,n,1
25,17.9,6.5,50,309.34,1.56,n,1
103,17.4,8.8,50,337.37,3.43,n,1
98,17.4,9.4,50,310.99,1.8,n,1
98,16.2,11.5,50,323.22,2.3,n,1
98,16.2,11.5,50,330.36,2.93,n,1
98,16.2,11.5,50,330.54,3.12,n,1
44,15.6,9.4,50,331.31,1.52,l,1
98,15.4,7.9,50,333.98,4.02,l,1
114,17.8,28.4,50,305.36,1.27,n,1
157,17.4,9.7,50,297.69,0.81,n,1
152,17.4,9.7,50,299.97,0.57,n,1
157,17.4,9.7,50,301.28,0.82,n,1
152,17.4,9.7,50,298.46,0.81,n,1
