latitude,longitude,date,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
34.22649,-118.59914,2024-05-02,16.0,9.7,50,301.05,0.92,n,1
34.24471,-118.37968,2024-05-02,16.0,9.7,50,295.93,0.37,n,1
34.29092,-118.80218,2024-05-02,16.0,9.7,50,312.98,1.24,n,1
34.0362,-118.1052,2024-05-02,14.8,9.0,50,301.74,0.63,n,1
34.15191,-118.19234,2024-05-02,16.0,9.7,50,313.59,1.91,n,1
34.43057,-118.64497,2024-05-02,19.2,22.0,50,311.96,1.69,n,1
34.33564,-118.51682,2024-05-02,16.0,9.7,50,309.21,1.29,n,1
34.32243,-118.52596,2024-05-02,16.0,9.7,50,304.81,0.96,n,1
34.3195,-118.51061,2024-05-02,16.0,9.7,50,300.97,0.9,n,1
34.40052,-118.99726,2024-05-02,14.9,10.1,50,295.01,0.38,n,1
34.15315,-118.19,2024-05-02,16.0,9.7,50,330.59,2.21,l,1
34.40174,-118.9966,2024-05-03,15.2,10.7,50,295.51,0.29,n,1
34.43001,-118.64444,2024-05-03,16.6,9.7,50,332.35,2.44,l,1
33.85614,-118.33662,2024-05-06,15.7,12.2,50,296.43,1.27,n,1
33.85496,-118.3314,2024-05-06,15.7,12.2,50,301.55,0.54,n,1
34.43046,-118.64556,2024-05-06,15.1,16.9,50,307.24,0.77,n,1
34.42879,-118.64331,2024-05-06,15.9,9.0,50,298.77,0.67,n,1
34.3352,-118.51846,2024-05-06,15.9,9.0,50,307.82,0.71,n,1
34.31788,-118.51273,2024-05-06,15.9,9.0,50,296.67,0.4,n,1
34.15444,-118.19259,2024-05-06,15.9,9.0,50,310.13,0.58,n,1
34.29377,-118.80378,2024-05-06,15.9,9.0,50,295.12,1.01,n,1
34.03766,-118.10495,2024-05-06,15.7,10.4,50,295.07,0.24,n,1
33.80591,-118.24333,2024-05-06,17.6,9.7,50,299.05,0.6,n,1
33.79316,-118.23602,2024-05-06,17.6,9.7,50,296.07,0.68,n,1
33.7772,-118.23766,2024-05-06,17.6,9.7,50,299.81,0.82,n,1
33.77102,-118.28693,2024-05-06,17.6,9.7,50,296.83,0.43,n,1
33.61176,-117.82441,2024-05-06,17.6,9.7,50,297.57,0.61,n,1
